City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
471,Maceio,BR,76.44,mist,-9.6658,-35.7353,Hotel Ponta Verde Maceió
479,Caravelas,BR,78.24,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
483,Auki,SB,77.05,scattered clouds,-8.7676,160.7034,Auki Motel
497,Sai Buri,TH,80.65,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
500,Knittelfeld,AT,75.4,broken clouds,47.2167,14.8167,G'Schlössl Murtal
507,Zhangye,CN,77.31,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
510,Dingle,PH,79.83,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
514,Morondava,MG,77.59,clear sky,-20.2833,44.2833,La Case Bambou
515,Toccoa,US,80.67,clear sky,34.5773,-83.3324,Quality Inn
521,Gat,IL,77.77,clear sky,31.61,34.7642,OlusHome
544,Missungwi,TZ,78.53,overcast clouds,-2.85,33.0833,Sundi Bar and Lodge
553,Namatanai,PG,78.01,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
558,Olinda,BR,78.53,moderate rain,-8.0089,-34.8553,Flat Quatro Rodas Olinda
559,Kampong Thum,KH,79.47,overcast clouds,12.7111,104.8887,Sambor Village Hotel
560,Orbetello,IT,77.02,few clouds,42.4408,11.2196,Argentario Golf & Wellness Resort
566,Half Moon Bay,US,80.46,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
580,Samarai,PG,81.27,scattered clouds,-10.6167,150.6667,Nuli Sapi
590,Grand Gaube,MU,75.6,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
593,Bandarbeyla,SO,80.96,clear sky,9.4942,50.8122,JABIR HOTEL
600,Changji,CN,81.39,clear sky,44.0167,87.3167,Lvye Holiday Resort
612,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
619,Kinatakutan,PH,78.55,scattered clouds,13.9525,122.4758,Lucas Serdeña Beach Resort
624,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
625,Yinchuan,CN,78.42,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
634,Lorengau,PG,81.05,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
640,Magadi,IN,81.37,overcast clouds,12.9667,77.2333,Gobi centre
647,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
649,Esmeraldas,BR,77.11,broken clouds,-19.7625,-44.3139,Forasteiro Pousada
653,Ixtapa,MX,79.83,clear sky,20.7,-105.2,hotel la terminal
658,Sirjan,IR,79.83,clear sky,29.452,55.6814,MAPNA Building
669,Daru,PG,79.63,broken clouds,-9.0763,143.2092,Daru Lodge
675,Batangafo,CF,76.82,light rain,7.3008,18.2833,OCHA Office
679,Lufkin,US,76.91,overcast clouds,31.3382,-94.7291,Courtyard by Marriott Lufkin
687,Wajir,KE,80.56,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
