City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
27,Sao Filipe,CV,2022-05-23 16:38:04,14.8961,-24.4956,72.27,73,4,11.01
28,Agadez,NE,2022-05-23 16:38:05,19.75,10.25,97.95,7,76,6.96
29,Mataura,NZ,2022-05-23 16:38:05,-46.1927,168.8643,52.48,82,97,8.75
30,Qaanaaq,GL,2022-05-23 16:38:05,77.484,-69.3632,34.77,75,91,5.55
31,Torbay,CA,2022-05-23 16:38:06,47.6666,-52.7314,74.17,21,40,20.71
32,Alice Springs,AU,2022-05-23 16:38:06,-23.7,133.8833,51.35,66,67,0.0
33,Chokurdakh,RU,2022-05-23 16:38:06,70.6333,147.9167,31.84,95,100,1.5
34,Necochea,AR,2022-05-23 16:38:07,-38.5473,-58.7368,58.69,44,100,8.7
35,Iranshahr,IR,2022-05-23 16:38:07,27.2025,60.6848,97.14,7,0,9.22
36,Crotone,IT,2022-05-23 16:38:07,39.0851,17.1178,85.19,50,0,18.41
37,Ancud,CL,2022-05-23 16:38:08,-41.8697,-73.8203,48.97,79,93,17.81
38,Cairns,AU,2022-05-23 16:38:08,-16.9167,145.7667,73.35,91,75,8.05
39,Iguape,BR,2022-05-23 16:38:09,-24.7081,-47.5553,71.6,65,72,5.32
40,Tuktoyaktuk,CA,2022-05-23 16:38:09,69.4541,-133.0374,21.2,79,100,9.22
41,Olkhovka,RU,2022-05-23 16:38:09,53.2115,60.6069,51.82,91,100,11.05
42,Alexandria,EG,2022-05-23 16:38:10,31.2156,29.9553,73.36,64,40,12.66
43,Busselton,AU,2022-05-23 16:38:10,-33.65,115.3333,62.56,85,72,31.29
44,Albany,US,2022-05-23 16:36:33,42.6001,-73.9662,64.45,53,98,1.01
45,Katsuura,JP,2022-05-23 16:38:11,35.1333,140.3,61.7,79,87,4.12
46,Vaini,TO,2022-05-23 16:39:11,-21.2,-175.2,75.36,100,20,4.61
47,Norman Wells,CA,2022-05-23 16:39:11,65.282,-126.8329,39.24,81,75,4.61
48,Hervey Bay,AU,2022-05-23 16:39:12,-25.2986,152.8535,65.01,94,100,4.0
49,Sao Joao Da Barra,BR,2022-05-23 16:39:12,-21.6403,-41.0511,75.29,64,29,11.43
50,Kapaa,US,2022-05-23 16:39:13,22.0752,-159.319,74.12,85,100,14.97
51,Cidreira,BR,2022-05-23 16:39:13,-30.1811,-50.2056,67.51,58,0,4.34
52,Punta Arenas,CL,2022-05-23 16:37:05,-53.15,-70.9167,35.71,75,75,21.85
53,Pemberton,CA,2022-05-23 16:39:13,50.3164,-122.8027,55.09,68,94,4.25
54,Ambilobe,MG,2022-05-23 16:39:14,-13.2,49.05,74.8,75,84,3.51
55,Lasa,IT,2022-05-23 16:39:14,46.6166,10.7002,76.08,67,91,6.93
56,Kysyl-Syr,RU,2022-05-23 16:39:15,63.8986,122.7617,50.29,84,100,7.11
57,Boyuibe,BO,2022-05-23 16:39:15,-20.4167,-63.2833,81.91,38,0,7.02
58,Komsomolskiy,UZ,2022-05-23 16:39:15,40.4272,71.7189,61.52,55,69,4.61
59,Krasnoselkup,RU,2022-05-23 16:39:16,65.7,82.4667,48.47,66,96,11.9
60,Lagoa,PT,2022-05-23 16:39:16,39.05,-27.9833,61.54,86,100,16.51
61,Asyut,EG,2022-05-23 16:39:16,27.181,31.1837,87.98,15,0,9.48
62,Baykit,RU,2022-05-23 16:39:17,61.67,96.37,56.1,63,15,3.22
63,Esperance,AU,2022-05-23 16:39:17,-33.8667,121.9,61.0,68,59,22.95
64,Miri,MY,2022-05-23 16:39:18,4.4148,114.0089,80.74,89,20,4.61
65,Trelew,AR,2022-05-23 16:39:18,-43.249,-65.3051,54.5,31,26,19.73
66,Bellevue,US,2022-05-23 16:35:24,47.6104,-122.2007,61.18,75,100,6.91
