City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
79,Richards Bay,ZA,-28.783,32.0377,66.83,78,12,5.46,few clouds
80,Synevyr,UA,48.4875,23.6258,62.58,57,93,3.6,overcast clouds
81,Red Bluff,US,40.1785,-122.2358,80.85,19,0,17.27,clear sky
82,Klaksvik,FO,62.2266,-6.589,49.12,74,60,11.77,broken clouds
83,Quepos,CR,9.4236,-84.1652,76.86,91,100,3.44,overcast clouds
84,Tyup,KG,42.7276,78.3648,57.25,72,100,1.66,overcast clouds
85,Ahipara,NZ,-35.1667,173.1667,57.24,74,58,10.0,broken clouds
86,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,76,75,17.27,broken clouds
87,Kommunisticheskiy,RU,61.6789,64.4819,44.92,95,65,3.83,broken clouds
88,Karauli,IN,26.5,77.0167,92.88,26,76,15.05,broken clouds
89,Rawlins,US,41.7911,-107.2387,48.34,49,0,4.61,clear sky
90,Araouane,ML,18.9048,-3.5265,103.17,8,76,3.42,broken clouds
91,Atar,MR,20.5169,-13.0499,106.47,9,74,7.65,broken clouds
92,Puerto Ayora,EC,-0.7393,-90.3518,82.36,90,76,5.01,broken clouds
93,Kodiak,US,57.79,-152.4072,44.11,81,100,0.0,overcast clouds
94,Chuy,UY,-33.6971,-53.4616,66.81,63,100,8.39,overcast clouds
95,Tasiilaq,GL,65.6145,-37.6368,35.76,99,100,4.34,light rain
96,Meiktila,MM,20.8667,95.8667,77.22,76,98,13.65,overcast clouds
97,Kitsuki,JP,33.4167,131.6167,64.47,90,90,3.44,overcast clouds
98,San Patricio,US,28.017,-97.5169,82.83,58,50,18.25,scattered clouds
99,Acandi,CO,8.5063,-77.2778,81.81,80,98,1.39,overcast clouds
100,Namibe,AO,-15.1961,12.1522,73.13,64,0,11.3,clear sky
101,Anton Lizardo,MX,19.05,-95.9833,89.22,64,21,3.24,few clouds
102,Qaanaaq,GL,77.484,-69.3632,28.42,78,66,4.54,broken clouds
103,Synya,RU,65.3718,58.0387,49.71,56,79,5.12,broken clouds
104,Port Blair,IN,11.6667,92.75,83.07,82,71,18.23,broken clouds
105,Saskylakh,RU,71.9167,114.0833,30.81,97,97,12.21,overcast clouds
106,Sanchor,IN,24.7553,71.7722,90.93,38,0,11.79,clear sky
107,Chokurdakh,RU,70.6333,147.9167,30.87,94,100,7.74,overcast clouds
108,Nioro,GM,13.35,-15.75,100.99,18,39,5.32,scattered clouds
109,Muisne,EC,0.6,-80.0333,77.7,85,100,12.01,light rain
110,Cidreira,BR,-30.1811,-50.2056,70.99,60,4,5.14,clear sky
111,Dalupirip,PH,16.3258,120.7256,75.63,93,96,0.65,light rain
112,Raton,US,36.9034,-104.4391,38.01,87,100,12.66,mist
113,Pevek,RU,69.7008,170.3133,37.67,81,67,11.1,broken clouds
114,Lavrentiya,RU,65.5833,-171.0,35.26,72,13,4.38,few clouds
115,Olafsvik,IS,64.8945,-23.7142,44.17,87,100,8.77,light rain
116,Fortuna,US,40.5982,-124.1573,53.65,97,100,0.0,overcast clouds
117,Khandbari,NP,27.3747,87.2039,69.85,77,50,4.12,scattered clouds
118,Petropavlovka,RU,50.6114,105.3196,58.78,38,100,1.54,overcast clouds
119,Thompson,CA,55.7435,-97.8558,33.96,51,20,4.61,few clouds
120,Kruisfontein,ZA,-34.0033,24.7314,64.89,93,97,13.87,overcast clouds
121,Lebu,CL,-37.6167,-73.65,52.14,77,89,5.14,overcast clouds
122,Pimentel,PE,-6.8367,-79.9342,70.09,60,0,21.85,clear sky
123,Mount Gambier,AU,-37.8333,140.7667,56.12,69,100,9.4,overcast clouds
124,Aloleng,PH,16.1307,119.7824,83.46,77,98,10.87,overcast clouds
125,Honiara,SB,-9.4333,159.95,77.74,89,51,3.38,broken clouds
126,Bukachacha,RU,52.9833,116.9167,50.81,50,8,4.14,clear sky
127,Oktyabrskiy,RU,54.4815,53.471,51.31,72,100,1.83,overcast clouds
128,Bethel,US,41.3712,-73.414,67.35,57,75,1.01,broken clouds
129,Cacapava Do Sul,BR,-30.5122,-53.4914,67.05,61,68,5.75,broken clouds
130,Provideniya,RU,64.3833,-173.3,44.8,60,92,6.11,overcast clouds
131,Xichang,CN,27.8964,102.2634,67.37,85,37,2.82,scattered clouds
132,Qaqortoq,GL,60.7167,-46.0333,39.54,48,22,18.32,few clouds
133,Mahebourg,MU,-20.4081,57.7,75.49,73,40,11.5,scattered clouds
134,Srednekolymsk,RU,67.45,153.6833,40.37,87,72,8.03,broken clouds
135,Kaeo,NZ,-35.1,173.7833,52.23,87,51,4.61,broken clouds
136,Rio Gallegos,AR,-51.6226,-69.2181,39.25,75,75,17.27,broken clouds
137,Georgetown,MY,5.4112,100.3354,84.13,88,20,2.3,few clouds
138,Hobyo,SO,5.3505,48.5268,81.03,77,9,25.75,clear sky
139,Vysokogornyy,RU,50.1167,139.15,45.77,99,98,3.13,overcast clouds
140,Joshimath,IN,30.5667,79.5667,51.42,74,36,6.38,scattered clouds
141,Garowe,SO,8.4054,48.4845,95.14,28,84,19.08,broken clouds
142,Liverpool,GB,53.4106,-2.9779,63.79,59,40,21.85,scattered clouds
143,Iqaluit,CA,63.7506,-68.5145,24.53,85,100,10.36,light snow
144,Gushikawa,JP,26.3544,127.8686,74.43,96,75,10.36,moderate rain
145,Saldanha,ZA,-33.0117,17.9442,62.65,89,100,7.14,overcast clouds
146,Lerwick,GB,60.1545,-1.1494,51.8,70,99,12.73,overcast clouds
147,Orange,US,33.7,-117.7675,74.53,79,100,4.61,overcast clouds
148,Santiago Del Estero,AR,-27.7951,-64.2615,76.57,46,5,2.48,clear sky
149,Stromness,GB,58.965,-3.296,55.36,82,23,8.99,few clouds
