City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
367,Hambantota,6.1241,81.1185,80.26,83,98,17.65,LK,2022-05-23 16:48:09
368,Bemidji,47.4736,-94.8803,61.92,31,40,13.8,US,2022-05-23 16:48:09
369,Maldonado,-34.6667,-54.9167,67.39,58,100,5.86,UY,2022-05-23 16:48:10
370,Launceston,-41.45,147.1667,43.81,92,3,0.0,AU,2022-05-23 16:48:10
371,Luderitz,-26.6481,15.1594,62.64,57,65,3.78,NA,2022-05-23 16:48:11
372,Hofn,64.2539,-15.2082,44.62,93,100,10.36,IS,2022-05-23 16:48:11
373,Kodiak,57.79,-152.4072,45.91,87,100,16.11,US,2022-05-23 16:45:53
374,Ashland,40.8167,-82.2665,60.76,70,100,10.36,US,2022-05-23 16:45:19
375,Ofunato,39.0717,141.7167,53.74,90,2,8.55,JP,2022-05-23 16:48:16
376,Kamaishi,39.2667,141.8833,53.82,89,2,7.61,JP,2022-05-23 16:48:16
377,Snezhnogorsk,69.1933,33.2531,47.98,57,6,11.81,RU,2022-05-23 16:48:17
378,Ifanadiana,-21.3,47.6333,65.59,98,61,1.32,MG,2022-05-23 16:48:17
379,Morada Nova,-5.1067,-38.3725,88.56,47,36,7.43,BR,2022-05-23 16:48:17
380,Salamiyah,35.0113,37.0532,66.09,52,0,20.67,SY,2022-05-23 16:48:18
381,Nova Olimpia,-14.7972,-57.2881,90.46,29,41,3.15,BR,2022-05-23 16:48:18
382,Znin,52.8496,17.7199,67.33,61,45,8.39,PL,2022-05-23 16:48:18
383,Pombas,17.1503,-25.0201,78.58,72,16,13.33,CV,2022-05-23 16:48:19
384,Sorland,67.667,12.6934,49.86,80,100,14.09,NO,2022-05-23 16:48:19
385,Makakilo City,21.3469,-158.0858,74.19,71,0,9.22,US,2022-05-23 16:48:20
386,Boden,65.8252,21.6886,50.0,47,7,7.31,SE,2022-05-23 16:48:20
387,Touros,-5.1989,-35.4608,80.89,81,46,12.59,BR,2022-05-23 16:48:20
388,Salalah,17.0151,54.0924,84.29,84,75,9.22,OM,2022-05-23 16:48:21
389,Kinshasa,-4.3246,15.3215,75.2,80,99,1.83,CD,2022-05-23 16:45:14
390,Libreville,0.3925,9.4537,79.23,76,100,2.71,GA,2022-05-23 16:48:21
391,Teknaf,20.8624,92.3058,79.77,81,96,1.99,BD,2022-05-23 16:48:22
392,Deputatskiy,69.3,139.9,21.83,93,45,3.38,RU,2022-05-23 16:48:22
393,Bedele,8.456,36.353,62.73,66,9,5.5,ET,2022-05-23 16:48:22
394,Susanville,40.4163,-120.653,62.11,33,0,5.75,US,2022-05-23 16:47:26
395,Severodvinsk,64.5635,39.8302,33.91,91,100,22.82,RU,2022-05-23 16:48:23
396,Dzidzantun,21.25,-89.05,97.75,29,11,5.48,MX,2022-05-23 16:45:21
397,Marawi,7.9986,124.2928,69.31,94,88,2.73,PH,2022-05-23 16:48:23
398,Adet,11.2644,37.4888,69.58,46,57,15.35,ET,2022-05-23 16:48:24
399,Kungurtug,50.5994,97.5228,53.01,71,64,2.89,RU,2022-05-23 16:48:24
400,Cascais,38.6979,-9.4215,71.51,61,20,17.27,PT,2022-05-23 16:48:24
401,Salvador,13.8333,-88.9167,77.04,75,99,3.58,SV,2022-05-23 16:44:22
402,Katete,-0.7818,29.7544,63.54,91,86,3.24,UG,2022-05-23 16:48:25
403,Porto Velho,-8.7619,-63.9039,89.65,51,0,3.44,BR,2022-05-23 16:48:25
404,Chapais,49.7834,-74.8492,47.98,42,56,5.17,CA,2022-05-23 16:48:25
405,Turukhansk,65.8167,87.9833,51.31,78,99,16.96,RU,2022-05-23 16:48:26
406,Dubai,25.2582,55.3047,91.69,58,0,8.05,AE,2022-05-23 16:48:24
407,Jackson,42.4165,-122.8345,65.16,52,0,1.99,US,2022-05-23 16:48:26
408,Ixtapa,20.7,-105.2,89.65,36,14,6.02,MX,2022-05-23 16:48:27
409,Poum,-20.2333,164.0167,75.99,76,100,18.81,NC,2022-05-23 16:49:27
410,Fortuna,40.5982,-124.1573,56.93,85,100,9.22,US,2022-05-23 16:49:27
411,Lingao,19.9103,109.6859,78.15,92,96,12.01,CN,2022-05-23 16:49:28
412,Port Blair,11.6667,92.75,82.44,89,75,12.66,IN,2022-05-23 16:49:28
413,Morros,-9.4467,-46.3003,89.64,33,1,6.73,BR,2022-05-23 16:49:29
414,Abonnema,4.7084,6.7931,76.1,90,100,5.99,NG,2022-05-23 16:49:29
415,Marienburg,54.0359,19.0266,64.89,72,53,8.05,PL,2022-05-23 16:49:29
416,Namatanai,-3.6667,152.4333,79.11,83,42,6.93,PG,2022-05-23 16:49:30
417,Cabedelo,-6.9811,-34.8339,75.87,86,99,15.9,BR,2022-05-23 16:45:49
418,Rawson,-43.3002,-65.1023,54.18,35,29,19.89,AR,2022-05-23 16:49:30
419,Ahuimanu,21.4447,-157.8378,75.36,74,20,9.22,US,2022-05-23 16:49:30
420,Nago,26.5881,127.9761,70.65,95,100,22.06,JP,2022-05-23 16:49:31
421,Zhuanghe,39.7008,122.9911,58.84,87,39,4.38,CN,2022-05-23 16:49:31
422,Tiksi,71.6872,128.8694,32.11,98,100,2.19,RU,2022-05-23 16:49:31
423,Sawakin,19.1059,37.3321,86.47,55,1,14.18,SD,2022-05-23 16:49:33
424,Los Alamos,35.8881,-106.307,64.04,35,75,9.22,US,2022-05-23 16:49:33
425,Menongue,-14.6585,17.691,61.18,38,0,3.96,AO,2022-05-23 16:49:34
426,Mount Pleasant,32.7941,-79.8626,87.06,76,40,13.8,US,2022-05-23 16:49:34
427,Houma,29.5958,-90.7195,82.4,79,75,13.8,US,2022-05-23 16:46:42
428,Riverton,40.5219,-111.9391,59.16,43,0,11.5,US,2022-05-23 16:49:35
429,Martapura,-3.4167,114.85,78.89,100,100,3.44,ID,2022-05-23 16:49:35
430,Bilibino,68.0546,166.4372,43.88,68,69,2.66,RU,2022-05-23 16:49:36
431,Bella Vista,36.4295,-94.2316,61.05,71,100,12.66,US,2022-05-23 16:49:36
432,Pimenta Bueno,-11.6725,-61.1936,87.31,50,38,1.97,BR,2022-05-23 16:49:36
433,Joshimath,30.5667,79.5667,60.21,74,88,4.0,IN,2022-05-23 16:49:37
434,Gamba,-2.65,10.0,74.89,80,100,6.96,GA,2022-05-23 16:49:37
435,Nouakchott,18.0858,-15.9785,69.73,82,21,17.47,MR,2022-05-23 16:49:37
436,Sakaraha,-22.9,44.5333,67.75,51,1,4.21,MG,2022-05-23 16:49:38
437,Nantucket,41.2835,-70.0995,68.14,67,100,24.16,US,2022-05-23 16:48:24
438,Praia Da Vitoria,38.7333,-27.0667,65.75,82,75,10.98,PT,2022-05-23 16:49:38
439,Semey,50.4111,80.2275,60.42,30,94,9.1,KZ,2022-05-23 16:49:38
440,Trinidad,-14.8333,-64.9,82.38,65,40,5.75,BO,2022-05-23 16:49:39
441,Hudiksvall,61.729,17.1036,56.05,41,65,10.51,SE,2022-05-23 16:49:39
442,Kolda,12.8833,-14.95,100.71,23,0,9.22,SN,2022-05-23 16:49:39
443,Hovd,48.0056,91.6419,66.2,39,100,3.0,MN,2022-05-23 16:49:40
444,Xichang,27.8964,102.2634,66.31,81,85,2.44,CN,2022-05-23 16:49:40
445,Marsh Harbour,26.5412,-77.0636,79.57,73,9,16.75,BS,2022-05-23 16:49:40
446,Chicama,-7.8447,-79.1469,61.34,63,32,8.97,PE,2022-05-23 16:49:41
447,Gimli,50.6336,-96.9907,59.02,38,50,10.36,CA,2022-05-23 16:49:41
448,Mancora,-4.1078,-81.0475,78.64,61,9,9.28,PE,2022-05-23 16:49:41
449,Sinazongwe,-17.2614,27.4618,67.91,34,0,3.56,ZM,2022-05-23 16:49:42
450,Ulladulla,-35.35,150.4667,46.76,79,83,4.45,AU,2022-05-23 16:49:42
451,Gimbi,9.1667,35.8333,63.3,70,56,3.65,ET,2022-05-23 16:49:42
452,Pangnirtung,66.1451,-65.7125,17.6,62,40,16.11,CA,2022-05-23 16:50:43
453,Juneau,58.3019,-134.4197,49.21,93,100,11.5,US,2022-05-23 16:50:43
454,Chokwe,-24.5333,32.9833,61.0,95,59,6.35,MZ,2022-05-23 16:50:43
455,Bacolod,10.6667,122.95,78.85,84,85,4.79,PH,2022-05-23 16:50:44
456,Vestmannaeyjar,63.4427,-20.2734,50.99,81,75,11.5,IS,2022-05-23 16:50:44
457,Warrenton,-28.114,24.8475,57.94,48,33,5.77,ZA,2022-05-23 16:50:44
458,Talara,-4.5772,-81.2719,74.16,64,0,25.32,PE,2022-05-23 16:50:45
